name,translatable,values,values-de-rDE,values-en-rCA,values-en-rGB,values-fr,values-fr-rCA,values-fr-rFR,values-nl,values-sv,values-it,values-fr-rBE,values-nl-rBE,values-en-rBE,values-fr-rCH,values-de-rCH,values-fr-rLU,values-de-rLU,values-en-rLU,values-de-rAT,values-en-rIE,values-pl,values-fi,values-es,values-cs,values-hu
appflyer_dev_key,FALSE,YuYnxNYfrpq8TXqBsD4EYT,,YuYnxNYfrpq8TXqBsD4EYT,YuYnxNYfrpq8TXqBsD4EYT,,,,,,YuYnxNYfrpq8TXqBsD4EYT,,,YuYnxNYfrpq8TXqBsD4EYT,,,,,YuYnxNYfrpq8TXqBsD4EYT,,YuYnxNYfrpq8TXqBsD4EYT,YuYnxNYfrpq8TXqBsD4EYT,YuYnxNYfrpq8TXqBsD4EYT,,YuYnxNYfrpq8TXqBsD4EYT,YuYnxNYfrpq8TXqBsD4EYT
application_requirement,TRUE,Required to apply,Zum Bewerben vorausgesetzt,Required to apply,Required to apply,Information requise,Requis pour postuler,Information requise,Dit is verplicht,Krävs för att ansöka,Necessario per candidarsi,Requis pour postuler,Vereist om te kunnen solliciteren.,Required to apply,Requis pour postuler,Zum Bewerben vorausgesetzt,Requis pour postuler,Zum Bewerben vorausgesetzt,Required to apply,Zum Bewerben vorausgesetzt,Required to apply,"Wymagane, aby aplikować",Edellyttää hakemista,Requisito para solicitar,Vyžaduje zaslání zájmu o pozici,Kell a pályázathoz
application_status,TRUE,Application Status,Bewerbungsstatus,Application Status,Application Status,Statut de la candidature,Statut de la candidature,Statut de la candidature,Status van sollicitatie,Status på ansökan,Stato della candidatura,Statut de la candidature,Status van sollicitatie,Application Status,Statut de la candidature,Bewerbungsstatus,Statut de la candidature,Bewerbungsstatus,Application Status,Bewerbungsstatus,Application Status,Status aplikacji,Hakemuksen status,Estado de la solicitud,Stav odpovědi,Pályázat státusza
applied,TRUE,Applied,Beworben,Applied,Applied,Envoyées,Candidatures,Envoyées,Gesolliciteerd,Ansökt,Candidature,Envoyées,Gesolliciteerd,Applied,Envoyées,Beworben,Envoyées,Beworben,Applied,Beworben,Applied,Aplikowano,Hakemus lähetetty,Solicitado,Odpovězeno,Megpályázva
applied_empty_message,TRUE,"To apply to jobs, swipe right from your job feed or press \""Interested\"" in the job details.",Swipe nach rechts zum Bewerben oder tippe auf den grünen Button in den Job-Details.,"To apply to jobs, swipe right from your job feed or press \""interested\"" in the job details.","To apply to jobs, swipe right from your job feed or press \""Interested\"" in the job details.","Pour postuler, swipez une offre vers la droite depuis la section Offres ou cliquez sur \""Postuler\"" depuis le détail de l\'offre.","Pour postuler, swipez une offre vers la droite depuis la section Offres ou cliquez sur \""Postuler\"" depuis le détail de l\'offre.","Pour postuler, swipez une offre vers la droite depuis la section Offres ou cliquez sur \""Postuler\"" depuis le détail de l\'offre.",Solliciteren? Swipe vacatures naar rechts of druk in de vacature details op het groene vinkje!,"För att söka ett jobb swipar du höger i din feed eller så trycker du på \""Intresserad\"" i jobbannonsen.","Per candidarti alle offerte, scorri a destra dalla tua bacheca annunci o seleziona \ ""Interessato \"" nei dettagli dell'annuncio.","Pour postuler, swipez une offre vers la droite depuis la section Offres ou cliquez sur \""Postuler\"" depuis le détail de l\'offre.",Solliciteren? Swipe vacatures naar rechts of druk in de vacature details op het groene vinkje!,"To apply to jobs, swipe right from your job feed or press \""Interested\"" in the job details.","Pour postuler, swipez une offre vers la droite depuis la section Offres ou cliquez sur \""Postuler\"" depuis le détail de l\'offre.",Swipe nach rechts zum Bewerben oder tippe auf den grünen Button in den Job-Details.,"Pour postuler, swipez une offre vers la droite depuis la section Offres ou cliquez sur \""Postuler\"" depuis le détail de l\'offre.",Swipe nach rechts zum Bewerben oder tippe auf den grünen Button in den Job-Details.,"To apply to jobs, swipe right from your job feed or press \""Interested\"" in the job details.",Swipe nach rechts zum Bewerben oder tippe auf den grünen Button in den Job-Details.,"To apply to jobs, swipe right from your job feed or press \""Interested\"" in the job details.","Apy aplikować, przesuń w prawo ofertę pracy lub dotknij ""Jestem zainteresowany/a"" w szczegółach oferty.","Hakeaksesi tehtävään, pyyhkäise oikeaan, tai paina \""kiinnostunut\"" -painiketta.","Para solicitar, deslizar hacia la derecha desde la sección Ofertas o presionar en \""Solicitar\"" desde el detalle de la oferta.",Pro projevení zájmu o pozici potáhni doprava nebo po rozkliknutí nabídky klikni na zelenou fajfku.,"Állás megpályázásához húzd jobbra a képernyőn az állást, vagy érintsd meg az \""Érdekel\"" gombot az álláshirdetés részletei oldalon."
applied_empty_title,TRUE,"No applications, yet.",Noch keine Bewerbungen,"No applications, yet.","No applications, yet.",Aucune candidature pour l\'instant.,Aucune candidature pour l\'instant.,Aucune candidature pour l\'instant.,Nog geen sollicitaties.,Inga ansökningar - ännu.,"Nessuna candidatura, per il momento.",Aucune candidature pour l\'instant.,Nog geen sollicitaties.,"No applications, yet.",Aucune candidature pour l\'instant.,Noch keine Bewerbungen,Aucune candidature pour l\'instant.,Noch keine Bewerbungen,"No applications, yet.",Noch keine Bewerbungen,"No applications, yet.",Brak aplikacji,Ei vielä hakemuksia,Aún no hay solicitudes,Ještě žádné odpovědi.,Még nem pályáztál.
applied_timestamp,TRUE,Applied %1$s,Beworben %1$s,Applied %1$s,Applied %1$s,Envoyée %1$s,Postulé,Envoyée %1$s,Gesolliciteerd %1$s,Ansökt %1$s,Candidato %1$s,Envoyée %1$s,Gesolliciteerd %1$s,Applied %1$s,Envoyée %1$s,Beworben %1$s,Envoyée %1$s,Beworben %1$s,Applied %1$s,Beworben %1$s,Applied %1$s,Aplikowano %1$s,Haettu %1$s,Solicitado %1$s,Odpovězeno %1$s.,Megpályázva: %1$s
apply_now,TRUE,Apply Now,Jetzt bewerben,Apply Now,Apply Now,Postulez maintenant,Postulez maintenant,Postulez maintenant,Solliciteer nu,Ansök nu,Candidati,Postulez maintenant,Solliciteer nu,Apply Now,Postulez maintenant,Jetzt bewerben,Postulez maintenant,Jetzt bewerben,Apply Now,Jetzt bewerben,Apply Now,Aplikuj teraz,Hae nyt,Solicitar ahora,Odpovědět teď.,Pályázz most
associate_degree,TRUE,Associate Degree,Vordiplom oder gleichwertig,Associate Degree,HND/HNC or equivalent,Licence / BAC+3,Diplôme d\'associé,Licence / BAC+3,Propedeuse,Universitetsexamen,Laurea Breve,Bachelier académique,Academische bachelor,Associate Degree,Examen intermédiaire ou équivalent,Vordiplom oder gleichwertig,Bachelier académique,Vordiplom oder gleichwertig,Associate Degree,Vordiplom oder gleichwertig,Graduate/Higher Certificate or equivalent,Licencjat,Ammattitutkinto,Diplomatura,Další kvalifikace,Felsőfokú szakképzés
attachment_menu_camera,TRUE,Camera,Kamera,Camera,Camera,Appareil Photo,Appareil Photo,Appareil Photo,Camera,Kamera,Fotocamera,Appareil Photo,Camera,Camera,Appareil Photo,Kamera,Appareil Photo,Kamera,Camera,Kamera,Camera,Aparat,Kamera,Cámara,Fotoaparát,Kamera
attachment_menu_gallery,TRUE,Gallery,Gallerie,Gallery,Gallery,Gallerie,Gallerie,Gallerie,Gallerij,Galleri,Galleria,Gallerie,Gallerij,Gallery,Gallerie,Gallerie,Gallerie,Gallerie,Gallery,Gallerie,Gallery,Galeria zdjęć,Galleria,Galería,Galerie,Képek
attachment_menu_location,TRUE,Location,Ort,Location,Location,Lieu de poste,Lieu de poste,Lieu de poste,Locatie,Placering,Località,Lieu de poste,Locatie,Location,Lieu de poste,Ort,Lieu de poste,Ort,Location,Ort,Location,Lokalizacja,Sijainti,Localidad,Lokace,Földrajzi hely
auth_checkbox,TRUE,"I agree to <a href=""http://inside.monster.com/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Terms of Use</a> and <a href=""http://www.jobrapp.com/privacy"">Privacy Policy</a>.","Ich akzeptiere die Monster <a href=""http://datenschutz.monster.de/nutzungsbedingungen"">Nutzungsbedingungen</a> und <a href=""http://datenschutz.monster.de/kurzversion/inside2.aspx"">Datenschutzrichtlinie</a>. Hinweis: Bestätige im Anschluss deine Registrierung über den Link in deinen E-Mails!","I agree to <a href=""http://inside.monster.ca/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Terms of Use</a> and <a href=""http://inside.monster.ca/privacy/home.aspx"">Privacy Policy</a>.","I agree to <a href=""http://inside.monster.co.uk/terms-of-use"">Terms of Use</a> and <a href=""http://inside.monster.co.uk/privacy/home.aspx"">Privacy Policy</a>.","J\'accepte les <a href=""http://donnees.monster.fr/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.fr/charte/inside2.aspx"">politique de confidentialité</a>.","J\'accepte les <a href=""http://interne.monster.ca/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://interne.monster.ca/politiquecomplete/inside2.aspx"">politique de confidentialité</a>.","J\'accepte les <a href=""http://donnees.monster.fr/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.fr/charte/inside2.aspx"">politique de confidentialité</a>.","Ik ga akkoord met de <a href=""http://inside.monsterboard.nl/voorwaarden"">Gebruiksvoorwaarden</a> en <a href=""http://inside.monsterboard.nl/verklaring/inside2.aspx"">het Privacybeleid</a> van Monsterboard.","Jag godkänner Monsters <a href=""http://integritet.monster.se/villkor?intcid=swoop_Footer_Anvandarvillkor"">Användarvillkor</a> and <a href=""http://integritet.monster.se/integritet/home.aspx"">integritetspolicy</a>.","Accetto i <a href=""http://archivio.monster.it/termini""> Termini di Utilizzo </a> e  dichiaro di aver preso visione della <a href = ""http: //www.jobrapp. com / privacy ""> Politica privacy </a>.","J\'accepte les <a href=""http://donnees.monster.be/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.be/charte/inside2.aspx"">politique de confidentialité</a>.","Ik ga akkoord met de <a href=""http://inside.du.monster.be/gebruiksvoorwaarden"">Gebruiksvoorwaarden</a> en <a href=""http://inside.du.monster.be/privacy/home.aspx"">het Privacybeleid</a> van Monster.","I agree to <a href=""http://inside.monster.be/terms-of-use"">Terms of Use</a> and <a href=""http://inside.monster.be/privacy/home.aspx"">Privacy Policy</a>.","J\'accepte les <a href=""http://donnees.monster.ch/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.ch/policy/inside2.aspx"">politique de confidentialité</a>.","Ich akzeptiere die Monster <a href=""http://datenschutz.monster.ch/nutzungsbedingungen"">Nutzungsbedingungen</a> und <a href=""http://datenschutz.monster.ch/kurzversion/inside2.aspx"">Datenschutzrichtlinie</a>. Hinweis: Bestätige im Anschluss deine Registrierung über den Link in deinen E-Mails!","J\'accepte les <a href=""http://donnees.monster.lu/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.lu/charte/inside2.aspx"">politique de confidentialité</a>.","Ich akzeptiere die Monster <a href=""http://datenschutz.monster.lu/nutzungsbedingungen"">Nutzungsbedingungen</a> und <a href=""http://datenschutz.monster.lu/kurzversion/inside2.aspx"">Datenschutzrichtlinie</a>. Hinweis: Bestätige im Anschluss deine Registrierung über den Link in deinen E-Mails!","I agree to <a href=""http://inside.monster.lu/terms-of-use"">Terms of Use</a> and <a href=""http://inside.monster.lu/privacy/home.aspx"">Privacy Policy</a>.","Ich akzeptiere die Monster <a href=""http://datenschutz.monster.at/nutzungsbedingungen"">Nutzungsbedingungen</a> und <a href=""http://datenschutz.monster.at/kurzversion/inside2.aspx"">Datenschutzrichtlinie</a>. Hinweis: Bestätige im Anschluss deine Registrierung über den Link in deinen E-Mails!","I agree to <a href=""http://inside.monster.ie/terms-of-use"">Terms of Use</a> and <a href=""http://inside.monster.ie/privacy/home.aspx"">Privacy Policy</a>.","Wyrażam zgodę na <a href=""http://inside.monsterpolska.pl/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">warunki użytkowania</a> i <a href=""http://www.jobrapp.com/privacy"">politykę prywatności</a> firmy Monster Polska.","Hyväksyn <a href=""http://inside.monster.com/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Käyttöehdot</a> ja <a href=""http://www.jobrapp.com/privacy"">Yksityisyyssäädökset</a>.","Acepto los <a href=""http://datos.monster.es/condiciones"">Términos de Uso</a> de Monster y su <a href=""http://datos.monster.es/politica/inside2.aspx"">Política de Privacidad</a>.","Souhlasím s <a href=""http://inside.monster.com/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Podmínkami použití</a> a <a href=""http://www.jobrapp.com/privacy"">Zásadami ochrany osobních údajů</a>.","Elfogadom a <a href=""http://inside.monster.hu/terms-of-use"">Felhasználási Feltételeket</a> és az <a href=""http://inside.monster.hu/policy/inside2.aspx"">Adatvédelmi Elveket</a>."
auth_disclaimer,TRUE,"By creating a Monster account, you agree to <a href=""http://inside.monster.com/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Terms of Use</a> and <a href=""http://www.jobrapp.com/privacy"">Privacy Policy</a>..","Wenn du einen neuen Monster Account erstellst, akzeptierst du die Monster <a href=""http://datenschutz.monster.de/nutzungsbedingungen"">Nutzungsbedingungen</a> und <a href=""http://datenschutz.monster.de/kurzversion/inside2.aspx"">Datenschutzrichtlinie</a>. Hinweis: Bestätige im Anschluss deine Registrierung über den Link in deinen E-Mails!","By creating a Monster account, you agree to <a href=""http://inside.monster.ca/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Terms of Use</a> and <a href=""http://www.jobrapp.com/privacy"">Privacy Policy</a>.","By creating a Monster account, you agree to <a href=""http://inside.monster.co.uk/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Terms of Use</a> and <a href=""http://inside.monster.co.uk/privacy/home.aspx"">Privacy Policy</a>..","En créant un compte Monster, vous acceptez les <a href=""http://donnees.monster.fr/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.fr/charte/inside2.aspx"">politique de confidentialité</a>.","En créant un compte Monster, vous acceptez les <a href=""http://interne.monster.ca/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://interne.monster.ca/politiquecomplete/inside2.aspx"">politique de confidentialité</a>.","En créant un compte Monster, vous acceptez les <a href=""http://donnees.monster.fr/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.fr/charte/inside2.aspx"">politique de confidentialité</a>.","Als je een account aanmaakt dan ga je akkoord met de <a href=""http://inside.monsterboard.nl/voorwaarden"">gebruiksvoorwaarden</a> en het <a href=""http://inside.monsterboard.nl/verklaring/inside2.aspx"">privacybeleid</a> van Monsterboard.","Genom att skapa en profil på Monster godkäner du våra <a href=""http://integritet.monster.se/villkor?intcid=swoop_Footer_Anvandarvillkor"">Användarvillkor"">Användarvillkor</a> och vår <a href=""http://integritet.monster.se/integritet/home.aspx"">integritetspolicy</a>..","Creando un account Monster, l'utente accetta i <a href=""http://inside.monster.com/terms-of-use?intcid=swoop_Footer_Terms_of_Use""> Termini di Utilizzo </a> e  dichiara di aver preso visione della <a href=""http://www.jobrapp.com/privacy""> Politica privacy </a>.","En créant un compte Monster, vous acceptez les <a href=""http://donnees.monster.be/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.be/charte/inside2.aspx"">politique de confidentialité</a>.","Als je een account aanmaakt dan ga je akkoord met de <a href=""http://inside.du.monster.be/gebruiksvoorwaarden"">gebruiksvoorwaarden</a> en het <a href=""http://inside.du.monster.be/privacy/home.aspx"">privacybeleid</a> van Monster.","By creating a Monster account, you agree to <a href=""http://inside.monster.be/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Terms of Use</a> and <a href=""http://inside.monster.be/privacy/home.aspx"">Privacy Policy</a>..","En créant un compte Monster, vous acceptez les <a href=""http://donnees.monster.ch/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.ch/policy/inside2.aspx"">politique de confidentialité</a>.","Wenn du einen neuen Monster Account erstellst, akzeptierst du die Monster <a href=""http://datenschutz.monster.ch/nutzungsbedingungen"">Nutzungsbedingungen</a> und <a href=""http://datenschutz.monster.ch/kurzversion/inside2.aspx"">Datenschutzrichtlinie</a>. Hinweis: Bestätige im Anschluss deine Registrierung über den Link in deinen E-Mails!","En créant un compte Monster, vous acceptez les <a href=""http://donnees.monster.lu/conditions-utilisation"">conditions générales d\'utilisation</a> de Monster, ainsi que sa <a href=""http://donnees.monster.lu/charte/inside2.aspx"">politique de confidentialité</a>.","Wenn du einen neuen Monster Account erstellst, akzeptierst du die Monster <a href=""http://datenschutz.monster.lu/nutzungsbedingungen"">Nutzungsbedingungen</a> und <a href=""http://datenschutz.monster.lu/kurzversion/inside2.aspx"">Datenschutzrichtlinie</a>. Hinweis: Bestätige im Anschluss deine Registrierung über den Link in deinen E-Mails!","By creating a Monster account, you agree to <a href=""http://inside.monster.lu/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Terms of Use</a> and <a href=""http://inside.monster.lu/privacy/home.aspx"">Privacy Policy</a>..","Wenn du einen neuen Monster Account erstellst, akzeptierst du die Monster <a href=""http://datenschutz.monster.at/nutzungsbedingungen"">Nutzungsbedingungen</a> und <a href=""http://datenschutz.monster.at/kurzversion/inside2.aspx"">Datenschutzrichtlinie</a>. Hinweis: Bestätige im Anschluss deine Registrierung über den Link in deinen E-Mails!","By creating a Monster account, you agree to <a href=""http://inside.monster.ie/terms-of-use"">Terms of Use</a> and <a href=""http://inside.monster.ie/privacy/home.aspx"">Privacy Policy</a>..","Tworząc konto na MonsterPolska.pl wyrażasz zgodę na <a href=""http://inside.monsterpolska.pl/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">warunki użytkowania</a> i <a href=""http://www.jobrapp.com/privacy"">politykę prywatnośći</a> firmy Monster Polska.","Luomalla tilin Monsteriin, hyväksyt <a href=""http://inside.monster.com/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Käyttöehdot</a> ja <a href=""http://www.jobrapp.com/privacy"">Yksityisyyssäädökset</a>.","Al crear una cuenta en Monster, estás aceptando los <a href=""http://datos.monster.es/condiciones"">Términos de Uso</a> y la <a href=""http://datos.monster.es/politica/inside2.aspx"">Política de Privacidad</a>.","Tím, že si vytvoříte účet Monster, souhlasíte s <a href=""http://inside.monster.com/terms-of-use?intcid=swoop_Footer_Terms_of_Use"">Podmínkami použití</a> a <a href=""http://www.jobrapp.com/privacy"">Zásadami ochrany osobních údajů</a>.","Monster regisztrációddal elfogadod <a href=""http://inside.monster.hu/terms-of-use"">Felhasználási Feltételeket</a> és az <a href=""http://inside.monster.hu/policy/inside2.aspx"">Adatvédelmi Elveket</a>."
auth_subtitle,TRUE,The easiest way to find a job.,Swipe dich zum neuen Job!,The easiest way to find a job.,The easiest way to find a job.,Il n\'y a pas plus simple pour trouver un job !,Il n\'y a pas plus simple pour trouver un emploi !,Il n\'y a pas plus simple pour trouver un job !,De makkelijkste manier om een baan te vinden.,Det lättaste sättet att bli matchad med rätt jobb,Il modo più semplice per trovare lavoro.,Il n\'y a pas plus simple pour trouver un job !,De makkelijkste manier om een job te vinden.,The easiest way to find a job.,Il n\'y a pas plus simple pour trouver un job !,Swipe dich zum neuen Job!,Il n\'y a pas plus simple pour trouver un job !,Swipe dich zum neuen Job!,The easiest way to find a job.,Swipe dich zum neuen Job!,"File error, please try again",Znajdziesz lepszą pracę,Helpoin tapa löytää työpaikka,La manera más fácil de encontrar un trabajo.,Nejsnadnější cesta k té pravé práci pro vás.,Az álláskeresés legegyszerűbb módja.
authentication_title,TRUE,Welcome,Willkommen,Welcome,Welcome,Bienvenue,Bienvenue,Bienvenue,Welkom,Välkommen,Benvenuto,Bienvenue,Welkom,Welcome,Bienvenue,Willkommen,Bienvenue,Willkommen,Welcome,Willkommen,Welcome,Cześć!,Tevetuloa,Bienvenido,Vítej,"Üdv,"
bachelor_degree,TRUE,Bachelor\'s Degree,FH/Bachelor oder gleichwertig,Bachelor\'s Degree,Bachelor's Degree,Maîtrise / BAC+4,Baccalauréat,Maîtrise / BAC+4,HBO,Kandidatexamen,Laurea Triennale,Master (Licence),Master (Licentiaat),Bachelor's Degree,Bachelor ou équivalent,FH/Bachelor oder gleichwertig,Maîtrise / BAC+4,FH/Bachelor oder gleichwertig,Bachelor's Degree,FH/Bachelor oder gleichwertig,Bachelor's Degree,Licencjat,kandidaatintutkinto,Licenciatura / Ingeniería,Bakalářský titul,Főiskolai vagy BSC diploma
basic_info,TRUE,Basic Information,Basisinfos,Basic Information,Basic Information,Mes informations,Vos informations,Mes informations,Basis info,Grundinformation,Informazioni di base,Mes informations,Basis info,Basic Information,Mes informations,Basisinfos,Mes informations,Basisinfos,Basic Information,Basisinfos,Basic Information,Podstawowe informacje,Perustiedot,Información general,Základní informace,Alapadatok
cancel,TRUE,Cancel,Abbrechen,Cancel,Cancel,Annuler,Annuler,Annuler,Annuleren,Avbryt,Annulla,Annuler,Annuleren,Cancel,Annuler,Abbrechen,Annuler,Abbrechen,Cancel,Abbrechen,Cancel,Anuluj,Peruuta,Cancelar,Zrušit,Mégse
certification,TRUE,Certification,Lehrgang/Fortbildung,Certification,Certification,BAC Pro / BEP / CAP,Certification,BAC Pro / BEP / CAP,Certificaat,Certifiering,Certificazione,Certificat,Certificaat,Certification,Formation professionnelle,Lehrgang/Berufsbildung,BAC Pro / BEP / CAP,Lehrgang/Fortbildung,Certification,Lehrgang/Fortbildung,Certification,Certyfikat,Aitouden todistus,Ciclo formativo grado medio,Osvědčení,Bizonyítvány
change_viewer,TRUE,Resume not visible?,Lebenslauf nicht sichtbar?,Resume not visible?,CV not visible?,CV illisible ?,CV illisible ?,CV illisible ?,Cv niet zichtbaar?,Är ditt CV inte synligt?,CV non visibile?,CV illisible ?,CV niet zichtbaar?,CV not visible?,CV illisible ?,Lebenslauf nicht sichtbar?,CV illisible ?,Lebenslauf nicht sichtbar?,CV not visible?,Lebenslauf nicht sichtbar?,CV not visible?,CV jest niewidoczne?,Ansioluettelo ei ole nähtävissä?,¿El CV no es visible?,CV nelze zobrazit?,Nem látható az önéletrajz?
